;course_name;course_id;teacher;price;students_summary;rating_count;rating_average;course_difficulty;certificate;workload
0;Полный курс по Java Script - С нуля до результата!;130424;Дмитрий Фокеев;2 490 ₽;150 учащихся;;;Начальный уровень;Сертификат Stepik;4-5 часов в неделю
1;Основы языка Java;124803;;Бесплатно;500 учащихся;из 1 отзыва;5;Начальный уровень;;
2;ChatGPT Полный Курс для Начинающих;134115;Аве Кодер;Бесплатно;1 750 учащихся;из 12 отзывов;3.6;Начальный уровень;;4
3;ЕГЭ, Информатика и основы программирования;70337;Николай Терехов;2 890 ₽;431 учащийся;из 1 отзыва;5;Начальный уровень;Сертификат Stepik;
4;Работа с файлами в Python;132196;Антон Щербак;1 490 ₽;70 учащихся;из 5 отзывов;4.6;Средний уровень;Сертификат Stepik;10-14 часов в неделю
5;Профессия UX/UI дизайнер.Пакет из 2-х курсов-веб дизайн в Figma;119402;Дмитрий Фокеев;1 790;59 учащихся;;;Начальный уровень;сертификат;4-5 часов в неделю
6;Просто C ++ && Алгоритмизация;102103;Николай Терехов;900 ₽;104 учащихся;;;;Сертификат Stepik;
7;Телеграм-боты на Python и AIOgram;120924;Михаил Крыжановский;Бесплатно;10 739 учащихся;из 18 отзывов;5;Средний уровень;;
8;Thank Go! Многозадачность в Golang;133280;Антон Жиянов;900 ₽;31 учащийся;из 1 отзыва;5;;Сертификат Stepik;
9;Thank Go! Стандартная библиотека Golang;133305;Антон Жиянов;900 ₽;24 учащихся;;;;Сертификат Stepik;
10;Тестирование REST API в Postman - легкий старт в автоматизацию;131052;Давид Согоян;890 ₽;232 учащихся;из 8 отзывов;5;Начальный уровень;Сертификат Stepik;8 часов в неделю
11;Верстаем 8 сайтов по макету из Figma в портфолио;123120;Исмаил Усеинов;2 980 ₽;32 учащихся;;;Начальный уровень;Сертификат Stepik;1 час в день или больше
12;ОСНОВЫ БРЕНДИНГА;86506;Владислав Тарасенко;499 ₽;2 942 учащихся;из 2 отзывов;4;;;
13;Курс по машинному обучению. Проект «ИИ Старт».;125587;ИИ Старт;Бесплатно;10 886 учащихся;из 3 отзывов;5;Начальный уровень;;4-5 часов в неделю
14;ProgMine. Большой курс по программированию на Python в Minecraft;123284;Александр Бобуров;1 000 ₽;32 учащихся;;;Начальный уровень;Сертификат Stepik;2
15;ОГЭ по информатике - пора обновиться;101805;Дмитрий Похолок;1 500 ₽;29 учащихся;;;Средний уровень;Сертификат Stepik;2 часа в неделю
16;Технология Git;92718;Иосиф Дзеранов;5 990 ₽;78 учащихся;из 1 отзыва;5;Начальный уровень;Сертификат Stepik;2-3 часа в неделю
17;Турецкий язык для детей и начинающих;126436;Alla Yurina;2 750 ₽;17 учащихся;из 2 отзывов;5;Начальный уровень;Сертификат Stepik;2-3 урока в неделю
18;Практический Machine Learning;125501;Елена Кантонистова;1 450 ₽;340 учащихся;из 3 отзывов;5;Начальный уровень;;4-5 часов в неделю
19;Git для всех;126023;Татьяна Овчинникова;250 ₽;625 учащихся;из 65 отзывов;4.8;Начальный уровень;Сертификат Stepik;1 час в день
20;Хочу крутой оффер;121958;Александр Миленькин;1 200 ₽;97 учащихся;из 5 отзывов;4.8;Начальный уровень;;30 минут в день
21;Разговорный английский по сериалу;129425;Anna Tikhomirova;990 ₽;9 учащихся;из 4 отзывов;5;Средний уровень;Сертификат Stepik;5 часов в неделю
22;UX-дизайн в Figma. UX-аналитика проекта.;129807;Evgen Marfel;3 990 ₽;45 учащихся;из 2 отзывов;5;Начальный уровень;Сертификат Stepik;
23;"Веб дизайн в Figma. Анимации и Главные правила ""Юзабилити"".";128116;Дмитрий Фокеев;1 190 ₽;235 учащихся;из 7 отзывов;5;Средний уровень;Сертификат Stepik;4-5 часов в неделю
24;"Продвижение в социальных сетях с помощью Reels ""от А до Я""";125125;Владислава Шлепцова;699 ₽;49 учащихся;из 6 отзывов;5;Начальный уровень;Сертификат Stepik;3 — 4 часа
25;Проектирование ПО по принципам SOLID и Connascence;123332;StringConcat .com;2 000 ₽;20 учащихся;из 2 отзывов;4;Продвинутый уровень;;
26;Инструменты дизайнера Photoshop и Illustrator. Пакет 2-х курсов!;126396;Дмитрий Фокеев;1 190;89 учащихся;;;Начальный уровень;сертификат;4-5 часов в неделю
27;ОГЭ по информатике 2023 (тестовая часть);124833;Полина Мартынова;100 ₽;10 учащихся;из 1 отзыва;5;Начальный уровень;Сертификат Stepik;5 часов в неделю
28;Веб-дизайнер: взрывной старт;123461;Арсений Смирнов;1 490 ₽;59 учащихся;из 3 отзывов;4.3;Начальный уровень;Сертификат Stepik;3-4 часа в неделю
29;Испанский язык для начинающих. Грамматика;122692;Alena Alma;499 ₽;14 учащихся;;;Начальный уровень;;2-3 часа в неделю
30;Введение в Data Science: часть 1 - программирование на Python;100567;Eugene Levyant;12 000 ₽;10 учащихся;из 1 отзыва;5;Начальный уровень;Сертификат Stepik;5-7 часов в неделю
31;Постановка британского произношения. Основы.;117591;Ольга Константиновна Бархударян;1 500 ₽;22 учащихся;;;Начальный уровень;Сертификат Stepik;
32;SQL для всех. Level Up;122667;Игорь Ким;1 500 ₽;166 учащихся;из 22 отзывов;4.7;Средний уровень;Сертификат Stepik;7-10 часов
33;Видеомонтаж в Premiere Pro 2022 - С нуля до результата!;122287;Дмитрий Фокеев;1 190 ₽;177 учащихся;из 8 отзывов;5;Начальный уровень;Сертификат Stepik;4-5 часов в неделю
34;Графы для программистов;68315;Иосиф Дзеранов;7 990 ₽;53 учащихся;из 5 отзывов;5;Начальный уровень;Сертификат Stepik;4
35;Алгоритмы и структуры данных;120862;Иосиф Дзеранов;5 990 ₽;144 учащихся;из 3 отзывов;4.7;Начальный уровень;Сертификат Stepik;4-5 часов в неделю
36;Thank Go! Golang на практике;96832;Антон Жиянов;3 000 ₽;4 933 учащихся;из 62 отзывов;4.9;;Сертификат Stepik;
37;C# NoobCoder's;113539;Крис Рэкфилд;Бесплатно;14 442 учащихся;из 126 отзывов;4.9;Начальный уровень;;
38;Профессия веб верстальщик. Web разработка и создание сайтов 2022;121498;Дмитрий Фокеев;1 790;303 учащихся;;;Начальный уровень;сертификат;4-5 часов в неделю
39;Доказательная медицина и общество;118349;Екатерина Бороздина;Бесплатно;1 986 учащихся;из 32 отзывов;4.6;Начальный уровень;Сертификат Stepik;3 часа в неделю
40;Специализация «Аналитик данных»;121043;Игорь Ким;1 500 ₽;229 учащихся;;;Начальный уровень;сертификат;4-5 часов в неделю. 5 недель
41;Грамматика английского языка. Тотальный курс и тренажёр.;119270;Кристина М.;450 ₽;60 учащихся;из 1 отзыва;5;Начальный уровень;Сертификат Stepik;3
42;Web-технологии: практический курс CSS;109663;Мария Ажгихина;1 490 ₽;51 учащийся;из 8 отзывов;5;Средний уровень;Сертификат Stepik;1-2
43;Курс создания 3D персонажей 2022 + продажа на NFT маркетплейсах;113379;IT школа ROBIUS;11 990 ₽;;;;Начальный уровень;Сертификат Stepik;4-5
44;Суперинтенсив по английским неправильным глаголам;109584;Ольга Константиновна Бархударян;1 500 ₽;12 учащихся;;;;Сертификат Stepik;
45;Основы Pandas для начинающих;120014;Роман Медведев;990 ₽;1 689 учащихся;из 71 отзыва;4.9;Начальный уровень;Сертификат Stepik;2
46;Python: анализ данных с Pandas;118593;Игорь Ким;1 500 ₽;440 учащихся;из 43 отзывов;4.8;Средний уровень;Сертификат Stepik;4-5 часов в неделю. 4 недели
47;"""Поколение Python"": курс для профессионалов";82541;Тимур 👨‍🏫 Гуев;3 400 ₽;5 828 учащихся;из 180 отзывов;5;Продвинутый уровень;Сертификат Stepik;10 часов в неделю
48;Профессия корректор;119374;Корректорское бюро «Ёлки-палки»;2 500 ₽;16 учащихся;;;Начальный уровень;Сертификат Stepik;
49;Верстка и веб-разработка сайтов. Продвинутый уровень Web Develop;118223;Дмитрий Фокеев;1 790 ₽;685 учащихся;из 16 отзывов;4.8;Средний уровень;Сертификат Stepik;4-5 часов в неделю
50;Горы, вино и другие танцы. Грузинская грамматика и культура;119300;Aleksej Czernorzeczeński Алексей Чернореченский;Бесплатно;2 653 учащихся;из 9 отзывов;4.8;Начальный уровень;Сертификат Stepik;168 часов в неделю
51;Типы глаголов в финском языке;107369;Ольга Новожилова;500 ₽;13 учащихся;;;;;
52;WEB Парсинг на Python;104774;Павел Хошев;3 500 ₽;1 423 учащихся;из 57 отзывов;5;Средний уровень;Сертификат Stepik;3-5 часов в неделю
53;NumPy-массивы в Python;113585;Анастасия Лобкина;2 600 ₽;121 учащийся;из 15 отзывов;4.9;;Сертификат Stepik;
54;Трудоустройство в BIM: Как подготовиться к собеседованию;109444;Andrey Rybakov;2 999 ₽;182 учащихся;из 5 отзывов;5;Начальный уровень;Сертификат Stepik;2 часа
55;Kotlin - быстрый старт;118541;;4 990 ₽;163 учащихся;из 8 отзывов;5;Средний уровень;;
56;Android профессиональный уровень (Kotlin);117314;Андрей Сумин;6 990 ₽;439 учащихся;из 7 отзывов;5;Средний уровень;;
57;ez🍉Pandas;105785;Slava 🌀 Golyshevskii;390 ₽;246 учащихся;из 20 отзывов;4.6;Начальный уровень;Сертификат Stepik;
58;AutoCAD 2023: 2D черчение;117875;Александр Бондарев;3 000 ₽;9 учащихся;;;Начальный уровень;;5-6 часов в неделю
59;Онлайн-продвижение бизнеса в 2022;115089;Ирина Тригуб;2 990 ₽;4 учащихся;;;Начальный уровень;;
60;Python Basic. Тесты и задачи. Проверка своих знаний ツ;116108;🐾Svetlana 💚 🐍;897 ₽;184 учащихся;из 3 отзывов;5;Средний уровень;Сертификат Stepik;4-5 часов в неделю
61;Таргетолог VK: флэш-карточки + тестирование;116305;Цифровой Грамотей;357 ₽;24 учащихся;из 1 отзыва;5;Начальный уровень;Сертификат Stepik;10-15 мин. в день
62;Турецкий язык. Лего совсем по-взрослому;117662;;Бесплатно;4 800 учащихся;из 39 отзывов;4.9;;Сертификат Stepik;
63;Как написать курсовую работу;116259;Полина Кривых;500 ₽;34 учащихся;;;Начальный уровень;;20 минут
64;Тестирование ПО с Нуля до Специалиста;116411;Алекс Смит;1 499 ₽;11 350 учащихся;из 384 отзывов;4.9;Начальный уровень;Сертификат Stepik;от 5-7 часов в неделю
65;Spring для начинающих;115372;Заур Трегулов;1 350 ₽;710 учащихся;из 40 отзывов;5;Начальный уровень;;4-5 часов в неделю
66;Как справиться с прокрастинацией, апатией и депрессией;117144;Елена Заитова;7 000 ₽;3 учащихся;из 1 отзыва;5;Начальный уровень;;полчаса в день
67;Практический UI дизайн буткемп;114973;Irina Nik;2 890 ₽;118 учащихся;из 3 отзывов;5;Начальный уровень;;4-5 часов в неделю
68;Английский язык. Учимся слушать и понимать английскую речь;108779;Natalia Glushko;2 700 ₽;100 учащихся;из 4 отзывов;5;Начальный уровень;Сертификат Stepik;36 академических часов
69;Анализ данных в KNIME;114684;Игорь Ким;Бесплатно;1 110 учащихся;из 32 отзывов;4.9;Начальный уровень;;4-7 часов
70;Параметрическое моделирование в Grasshopper - крепкая основа.;91457;;6 999 ₽;135 учащихся;из 16 отзывов;4.9;Начальный уровень;;4
71;Верстка и веб разработка сайтов 2022 - с нуля! Web development;114109;Дмитрий Фокеев;1 790 ₽;1 397 учащихся;из 165 отзывов;5;Начальный уровень;Сертификат Stepik;4-5 часов в неделю
72;Продвинутая работа с ошибками и паникой в Go (Golang);114432;Антон Телышев;21 280 ₽;28 учащихся;;;Продвинутый уровень;сертификат;Нет дедлайнов, можно проходить в удобном для вас темпе
73;Разработка веб-приложений на Node.js;100438;ТУСУР;Бесплатно;5 847 учащихся;из 9 отзывов;4.6;;Сертификат Stepik;Курс рассчитан на 5-6 недель обучения.
74;TypeScript для современной разработки;121859;Михаил Непомнящий;2 890 ₽;145 учащихся;из 6 отзывов;4.5;Средний уровень;;2-3 часа в неделю
75;Регулярные выражения на примерах;113802;Evgeniy Lestopadov;789 ₽;33 учащихся;из 3 отзывов;4.3;Начальный уровень;Сертификат Stepik;6 часов
76;WEB программирование на ASP.NET Core. ВСЕ САМ;114281;Иосиф Дзеранов;45 000 ₽;30 учащихся;;;Средний уровень;;6-7 часов в неделю
77;SQL for everybody. Junior;101108;Fios Academy;299 ₽;465 учащихся;из 79 отзывов;4.6;Начальный уровень;;
78;Грамматика английского языка: step by step (A1-A2);105974;Elena Mikhailenko;2 300 ₽;434 учащихся;из 31 отзыва;5;;Сертификат Stepik;36 академических часов
79;Что-то на офисном, или Нормы и правила бизнес-правописания;108908;;Бесплатно;12 454 учащихся;из 169 отзывов;4.6;;Сертификат Stepik;
80;Google-таблицы. от А до Я;113401;Павел Коган;1 890 ₽;16 учащихся;из 1 отзыва;4;Начальный уровень;;2-3
