,sex,age,generation
13081,0,4,5
9678,1,0,4
2011,0,1,2
23396,1,5,5
10570,0,4,5
4975,0,3,2
14207,0,2,5
7131,0,3,4
2499,0,5,5
24617,0,1,2
26209,0,0,2
15602,0,1,2
21267,1,1,0
472,0,2,0
2505,0,0,4
8626,0,2,0
11673,0,0,4
13339,0,5,5
24902,0,1,2
23420,1,1,2
25514,0,3,4
5115,0,1,2
16647,0,3,4
18533,0,5,5
2532,0,0,4
5953,0,0,4
11565,0,0,4
18556,1,0,4
23477,0,2,2
10688,1,0,4
22915,0,3,4
5152,0,0,4
10623,0,1,2
19493,0,4,5
19301,0,4,0
12685,0,5,5
18703,0,4,5
12268,0,0,4
25168,1,3,4
8662,0,3,4
873,0,1,2
26436,0,3,3
22285,0,1,2
17266,0,1,2
740,0,0,2
16872,0,4,5
15458,0,5,1
8653,1,3,4
14176,1,2,0
143,0,4,5
20213,0,1,4
18130,1,3,3
5465,0,4,5
10113,0,2,0
13120,0,1,4
15691,0,1,2
15928,1,3,4
15771,1,3,3
11098,0,3,2
18262,1,3,3
22746,0,3,3
20210,1,1,4
9477,0,0,2
18653,0,0,2
162,0,2,0
5437,0,4,5
12281,0,5,5
12185,0,5,1
24425,0,0,2
19459,0,2,0
19341,0,1,4
1115,0,3,4
15837,0,2,5
24736,1,3,4
2760,0,2,0
1072,1,1,2
16931,0,2,2
19889,0,1,2
24198,0,5,1
22955,0,3,3
3923,0,2,0
21877,0,2,2
498,1,0,4
19710,0,2,5
2635,1,5,5
2403,1,0,2
12978,1,3,4
3485,0,0,2
14969,0,0,4
6628,0,0,4
17600,0,5,1
18056,0,1,2
11971,0,3,3
11361,0,3,3
978,0,2,0
2281,0,4,5
21043,0,3,4
6866,0,1,4
10302,1,0,4
17805,0,3,3
9227,0,0,2
22974,0,3,3
9649,0,3,3
12211,0,3,4
2209,1,1,0
678,0,4,5
15317,0,4,1
2447,0,1,2
19078,1,3,2
2549,1,3,4
8194,0,5,5
763,0,2,0
3211,0,3,4
11130,0,2,0
7463,0,0,2
21626,0,2,2
9336,1,3,4
24235,0,5,5
17494,1,3,2
19594,0,3,3
15102,1,3,4
2740,0,5,5
20009,0,4,0
23516,1,5,5
12374,0,2,2
15520,0,3,4
1077,0,3,4
23835,0,2,2
4479,0,5,5
26531,0,2,5
23355,0,1,2
21422,0,2,0
1640,0,3,4
25897,1,3,4
16332,0,4,5
452,1,2,0
10603,0,5,5
18513,0,3,3
27106,0,4,5
17876,0,1,0
19318,1,3,3
2365,0,4,1
22767,0,1,4
20124,1,2,0
1531,0,0,2
15495,0,1,2
13758,1,3,4
5647,0,3,2
7860,0,3,4
3838,0,1,0
16465,0,2,0
10657,1,5,5
25958,1,3,4
4987,0,3,2
19199,0,3,4
15588,0,2,0
1150,0,1,2
23809,0,4,5
8339,0,3,3
16550,0,2,2
26437,0,5,5
8845,0,3,4
17814,0,1,4
14899,0,3,4
14289,0,1,2
7759,0,1,0
970,0,3,2
12967,1,3,4
1661,0,5,5
8207,0,3,4
10174,0,0,2
14165,1,3,4
571,1,1,4
6877,0,2,2
2530,1,3,4
20912,1,3,3
17425,1,3,3
7428,1,3,4
4230,0,3,2
14443,1,5,5
12300,0,1,2
968,0,1,0
5079,0,0,2
2627,0,0,4
16961,0,3,4
2085,1,3,3
10797,1,3,4
23260,0,1,4
881,0,0,4
6783,0,0,4
12317,0,5,5
15664,1,3,3
9817,0,3,4
5309,0,1,0
1040,0,0,2
23869,0,4,0
21403,1,5,1
18649,1,2,0
15790,0,3,3
14079,0,1,0
25315,1,0,2
13021,1,0,4
24427,1,3,4
20118,0,0,4
2046,0,1,2
13795,0,3,4
19941,0,1,2
5712,1,2,0
21938,0,4,5
9288,1,3,4
10221,0,4,5
13186,1,1,0
20154,0,3,3
14468,1,1,4
16085,1,3,3
16719,0,3,4
12,0,5,1
1436,0,3,2
14151,1,1,2
20227,0,4,0
2203,1,3,4
27192,0,0,4
13189,0,3,2
12282,0,3,4
13722,1,3,3
17734,0,3,3
7079,0,1,4
15972,0,3,4
18953,0,5,1
15435,0,0,2
21580,1,0,4
22852,0,0,2
4938,1,3,2
18968,0,1,2
19516,1,1,2
22381,0,3,3
5164,0,5,5
23167,1,3,4
2410,0,0,2
27684,0,4,5
17207,0,0,2
26088,0,0,2
2555,0,2,0
5934,0,3,3
16813,1,3,4
21103,0,3,4
12871,0,3,4
23488,0,1,4
7511,0,1,2
25838,1,3,4
5307,0,2,5
67,0,1,0
26406,0,0,4
20138,1,1,2
23224,0,1,2
7917,0,5,5
23692,0,1,2
