,suicides_per_100k
13081,4.07
9678,4.0
2011,5.64
23396,3.22
10570,0.0
4975,0.34
14207,1.49
7131,0.0
2499,0.0
24617,4.98
26209,5.46
15602,2.81
21267,0.0
472,0.0
2505,0.0
8626,3.27
11673,2.61
13339,0.0
24902,4.88
23420,2.01
25514,1.81
5115,5.35
16647,0.18
18533,1.62
2532,0.0
5953,3.83
11565,1.91
18556,4.73
23477,0.22
10688,0.0
22915,0.0
5152,4.75
10623,0.0
19493,5.87
19301,6.28
12685,3.56
18703,2.55
12268,4.43
25168,0.34
8662,0.0
873,2.97
26436,0.0
22285,0.0
17266,5.13
740,3.57
16872,1.08
15458,6.06
8653,0.0
14176,0.0
143,0.0
20213,1.23
18130,0.63
5465,1.93
10113,1.36
13120,1.94
15691,0.0
15928,0.0
15771,0.0
11098,2.24
18262,0.0
22746,0.0
20210,2.97
9477,2.17
18653,3.6
162,4.0
5437,2.78
12281,4.16
12185,2.84
24425,4.97
19459,3.95
19341,2.72
1115,0.0
15837,0.0
24736,0.48
2760,3.74
1072,2.14
16931,1.9
19889,3.26
24198,0.0
22955,0.0
3923,0.0
21877,0.0
498,0.0
19710,4.02
2635,0.0
2403,0.0
12978,0.32
3485,3.91
14969,1.97
6628,2.6
17600,4.32
18056,5.44
11971,0.0
11361,1.29
978,2.27
2281,0.4
21043,0.69
6866,2.91
10302,2.34
17805,1.15
9227,4.23
22974,0.36
9649,0.0
12211,0.0
2209,3.14
678,5.79
15317,0.0
2447,0.0
19078,0.98
2549,0.0
8194,4.56
763,3.36
3211,0.26
11130,4.36
7463,5.21
21626,0.0
9336,0.55
24235,0.0
17494,0.76
19594,0.37
15102,2.96
2740,0.0
20009,4.85
23516,2.8
12374,5.99
15520,0.0
1077,0.0
23835,4.0
4479,2.69
26531,4.95
23355,0.39
21422,0.0
1640,0.3
25897,1.03
16332,5.06
452,0.0
10603,0.0
18513,0.29
27106,5.77
17876,4.94
19318,0.63
2365,0.0
22767,6.18
20124,4.63
1531,3.72
15495,2.98
13758,3.83
5647,0.3
7860,0.87
3838,0.0
16465,1.67
10657,0.0
25958,2.33
4987,0.39
19199,0.41
15588,3.98
1150,0.0
23809,5.43
8339,1.14
16550,2.82
26437,0.0
8845,0.0
17814,2.56
14899,0.78
14289,3.83
7759,5.39
970,0.0
12967,0.11
1661,5.51
8207,1.0
10174,0.79
14165,0.0
571,0.0
6877,4.93
2530,3.49
20912,1.01
17425,0.1
7428,0.35
4230,0.21
14443,0.0
12300,6.22
968,1.25
5079,5.27
2627,0.0
16961,0.0
2085,0.68
10797,0.35
23260,5.73
881,4.91
6783,3.02
12317,1.59
15664,3.15
9817,0.36
5309,1.74
1040,0.32
23869,5.88
21403,0.0
18649,6.28
15790,0.0
14079,0.0
25315,3.25
13021,5.25
24427,0.59
20118,1.62
2046,3.32
13795,0.92
19941,0.73
5712,5.73
21938,0.0
9288,0.63
10221,0.87
13186,0.59
20154,0.0
14468,3.31
16085,0.0
16719,0.27
12,5.49
1436,0.32
14151,0.0
20227,0.0
2203,0.0
27192,4.49
13189,0.37
12282,0.75
13722,1.22
17734,1.04
7079,2.83
15972,0.0
18953,2.05
15435,4.22
21580,0.0
22852,1.32
4938,1.09
18968,0.81
19516,5.93
22381,0.0
5164,4.79
23167,0.0
2410,0.0
27684,5.36
17207,3.91
26088,5.31
2555,2.04
5934,0.79
16813,0.83
21103,0.99
12871,0.06
23488,0.42
7511,2.35
25838,1.67
5307,2.41
67,1.53
26406,2.49
20138,4.0
23224,3.44
7917,3.26
23692,3.1
9516,0.27
4145,0.0
14415,0.0
19666,0.0
3307,0.56
8628,1.16
5403,2.12
23427,0.5
22085,2.59
16870,1.83
3607,0.33
2292,1.5
24139,0.0
27051,0.32
11718,0.0
442,0.0
25731,0.96
15998,0.0
1335,0.0
741,2.91
5370,0.23
2877,1.26
6963,0.0
21725,0.0
22394,0.0
25896,2.86
11789,0.0
13891,1.46
21691,0.0
24123,4.95
22446,2.06
20022,2.62
24169,6.24
15425,0.0
11146,0.0
16036,0.0
16433,0.0
8184,0.58
13555,0.26
18383,0.0
24103,0.0
9826,4.4
2866,0.74
1039,1.0
21867,0.0
21292,0.0
19364,4.93
13411,0.36
2277,2.22
3108,0.0
1601,5.48
14204,4.12
3810,0.32
27720,3.53
19484,3.04
3996,4.6
20057,0.0
5815,0.76
3938,0.0
7019,4.65
22435,0.0
10977,0.42
12545,1.03
16152,3.37
6073,4.2
18367,2.03
9631,5.55
27615,0.1
4009,0.0
17161,0.11
25886,0.35
17456,5.02
17135,3.57
25176,3.71
19426,0.66
22181,1.85
23595,3.73
6186,0.0
522,0.0
15766,0.0
15824,0.0
4397,2.16
5270,3.19
4272,6.01
16013,0.0
22926,0.29
19745,4.33
20829,0.65
25814,0.79
9453,3.22
16095,0.0
16092,0.0
10567,0.0
7944,1.78
25662,2.81
22865,1.98
5118,0.67
9432,0.45
23261,1.95
12184,3.59
21954,0.0
22984,1.32
18789,1.28
2917,0.0
16991,0.0
12770,3.72
401,0.0
11754,4.85
332,0.0
701,5.2
24903,4.42
5812,1.09
21745,0.0
4255,0.2
18786,3.26
18238,0.0
25453,3.41
12867,4.47
27012,4.92
26905,4.23
22962,0.0
19722,2.72
27722,1.4
2884,0.0
1134,2.54
18992,1.13
20672,1.19
21390,0.0
10696,0.0
415,0.0
2552,4.37
2833,0.96
17028,0.0
14258,0.0
20480,0.62
2772,4.07
10679,0.0
44,0.0
11768,0.0
17530,1.01
5382,0.3
18754,0.45
14091,0.0
18567,2.86
5237,4.02
5882,2.65
1709,5.69
1005,1.02
2010,6.01
20516,0.86
20660,0.95
3941,0.0
14671,1.11
6151,0.0
10754,5.88
16404,5.23
15676,0.0
3917,0.0
24079,0.0
9994,3.81
11948,0.0
9646,0.39
22253,0.0
20444,0.53
21347,0.0
26365,4.48
7335,0.22
471,0.0
15822,3.61
5670,0.41
5044,4.87
1216,3.59
20814,2.13
12186,1.25
25764,5.87
26210,1.47
14839,0.57
2460,0.0
27590,1.79
26709,4.98
22791,5.28
16929,4.26
25582,4.35
24144,4.92
5069,4.33
14358,0.0
316,0.0
1483,3.78
529,0.0
15818,0.0
12161,2.92
16798,1.68
20191,0.0
2438,0.0
2816,5.77
11769,0.0
23504,3.13
1161,0.45
21966,0.0
14572,5.05
8160,0.58
547,0.0
9191,5.22
4118,0.0
23259,6.08
22757,1.99
22831,0.49
8219,1.41
4127,5.53
14257,0.67
16132,0.0
2060,0.44
15413,0.0
5641,3.73
20140,2.95
15743,0.0
10950,1.74
3245,5.0
20010,3.12
26474,0.0
26424,0.0
10353,2.01
18970,0.12
11044,5.36
15340,0.0
21150,2.82
26186,2.01
18743,0.0
26555,4.63
17014,4.15
21664,0.0
3222,3.65
11421,3.82
25714,1.69
2430,0.0
23381,0.23
14537,2.95
17543,0.39
22264,0.0
17732,5.76
2324,5.89
13201,0.0
21373,0.0
9969,6.21
6438,0.97
16045,4.71
27071,4.63
11181,0.0
11032,4.74
10188,0.17
8012,4.26
1012,6.29
7655,3.42
17913,6.2
4312,2.17
23526,0.21
8495,4.31
12221,2.68
4044,3.32
7800,0.7
26677,2.01
26757,4.8
18727,1.95
9384,0.66
150,3.24
204,0.0
17830,1.0
20311,4.76
6182,1.98
16893,3.67
27623,4.51
21653,0.0
9457,0.0
10318,1.21
4214,3.01
14177,0.0
18293,3.46
19977,0.36
21883,0.0
15840,0.0
6943,3.05
17612,5.88
22744,5.82
23680,2.75
19018,0.2
20600,0.67
21651,0.0
16525,1.7
24544,4.89
6855,2.33
21528,0.0
27024,4.59
4302,0.21
10412,0.0
7713,4.53
2712,0.0
16862,0.7
17231,2.25
730,0.42
23389,0.58
26630,0.11
13330,3.86
23682,0.41
14375,1.97
9215,4.59
16420,0.0
24702,0.76
5261,4.61
19628,3.62
6580,4.59
21566,0.0
27315,0.0
7152,6.22
5393,1.64
2851,0.0
10504,0.0
1070,4.74
8604,1.47
25107,2.94
1518,6.31
22947,0.0
18190,0.33
11996,0.0
14657,1.91
19733,4.89
10715,0.0
7775,1.16
26014,2.19
14180,2.84
646,0.55
19494,4.24
13303,0.0
16213,6.06
18633,0.73
25946,1.7
2233,0.78
8182,3.79
22542,1.38
917,6.03
5009,4.19
24665,5.93
20907,5.94
14235,0.0
19127,0.16
14183,1.47
19411,3.67
10524,0.0
69,0.57
7869,2.21
23695,0.19
10315,1.57
10246,1.15
2873,0.0
25909,1.59
26,4.71
22396,0.0
6053,0.0
24652,5.49
11554,0.37
8315,1.87
22459,0.0
17100,0.32
305,0.0
23483,1.59
6653,0.37
11003,0.0
