,sex,age,generation,incomelevel
8733,0,0,2,0
7100,0,3,4,0
12625,0,2,0,0
11704,0,0,2,0
4984,1,0,4,2
2759,1,3,3,2
10724,0,3,3,2
11461,1,3,3,0
1452,1,3,4,2
4510,0,0,4,0
7631,0,0,4,0
11470,0,5,5,0
7946,0,5,5,2
8452,1,1,0,2
2271,0,0,2,1
6518,0,1,0,0
4742,0,1,2,0
5054,1,3,4,0
9611,1,5,1,1
3601,0,1,2,0
1524,0,3,2,0
10310,1,2,0,0
5848,0,2,0,2
3640,0,1,2,0
6901,1,0,2,2
4397,0,3,3,1
6060,1,3,4,0
3524,0,4,5,2
4800,0,1,0,2
1681,1,0,4,0
3214,0,5,1,2
12761,0,1,0,0
8241,1,0,2,2
8614,0,2,2,2
4372,0,3,4,1
4220,0,2,0,2
4775,0,0,4,0
201,1,3,3,2
8273,0,3,4,2
4567,0,5,5,2
11570,0,1,2,2
11706,0,3,4,0
10987,0,0,2,0
4692,1,3,3,0
10083,0,5,1,0
3449,0,3,4,2
1314,1,3,3,0
8270,0,3,4,2
1293,0,0,4,0
1946,0,2,0,0
12202,0,0,2,2
6107,0,3,3,0
8040,0,1,0,0
9886,1,3,2,0
5265,0,1,2,0
10773,0,4,5,0
1478,0,5,5,2
10561,1,3,2,2
369,0,0,2,0
8254,1,5,1,2
12035,0,5,5,0
10801,1,3,4,0
9019,0,3,4,0
10574,0,3,4,2
10376,0,3,3,0
7592,1,3,3,0
11589,0,3,4,2
10922,0,3,4,0
4627,0,3,2,0
7222,1,5,1,1
7346,0,2,0,0
355,1,4,5,0
13121,0,2,2,1
4798,0,2,5,2
12519,0,3,3,0
11136,0,4,5,2
8463,0,5,1,2
6363,0,0,2,0
916,1,5,5,2
1692,1,4,5,0
8848,0,5,1,0
6674,0,1,0,0
6109,0,0,4,0
12335,0,2,2,2
11788,0,3,2,2
125,0,1,2,2
3951,0,1,2,0
760,0,2,0,2
5006,1,3,4,0
8263,1,3,2,2
8307,0,5,1,2
6000,0,3,4,2
9648,1,4,5,1
9557,0,2,2,2
5922,0,1,4,2
7566,1,3,3,0
3346,0,1,4,2
12586,0,0,2,0
800,0,3,4,2
7830,0,5,5,0
928,0,2,2,2
4912,0,2,0,2
6034,1,3,3,2
6790,0,1,2,0
11994,1,3,4,0
11731,1,3,4,0
11173,0,2,0,2
9345,1,1,0,2
9870,0,0,2,0
5359,0,3,3,0
1782,0,2,5,0
11712,1,3,4,0
1384,1,2,0,2
4079,0,0,4,0
7553,0,3,3,0
401,1,5,5,0
5719,0,0,2,2
11385,0,4,5,0
3407,0,5,1,2
6701,0,3,2,0
6100,0,3,4,0
4865,0,3,4,2
1648,0,2,0,0
11258,0,5,5,2
718,1,3,3,2
9372,1,4,5,2
5108,0,2,5,0
12434,0,0,4,1
4278,0,4,0,2
9556,0,0,4,2
11609,0,3,3,2
5402,0,4,1,2
8578,0,1,2,2
12809,0,0,2,0
9606,0,4,5,1
4558,1,3,4,2
12404,1,3,4,1
9803,0,3,4,0
4443,1,3,4,0
3388,0,0,2,2
3987,0,1,4,0
6590,0,0,4,0
3737,0,2,2,2
669,0,3,3,2
8081,1,1,2,0
6346,0,5,1,0
9629,0,1,2,1
11954,0,2,2,2
